id,title,author,cover,price,categories,sales,stock,synopsis
1,SCARRED: UNA HISTORIA DE NUNCA JAMAS,EMILY MCINTIRE,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657811/proyecto13/sacrred_cfmqob.jpg,19.90,1,2500,100,Ella no le pertenece a él. Pertenece a la corona./El trono nunca fue el destino de Tristan Faasa. Eso quedaba para su hermano; Michael; el mismo que fue responsable de la infancia atormentada de Tristan y de la cicatriz que le cruza la cara. Tras la muerte de su padre; Michael está decidido a subir al trono; y Tristan; a robárselo: como líder de una rebelión secreta; no se detendrá ante nada con tal de poner fin al reinado de su hermano. Pero la llegada de Lady Sara Beatreaux; la prometida de Michael; hace estallar otro tipo de guerra; una en la que Tristan ya no sabrá qué le importa más; si la corona o la mujer que está a punto de ceñirse las sienes con ella./Sara tiene un plan: casarse con el rey y acabar con la dinastía Faasa; aunque eso ponga en peligro su propia vida. Pero no contaba con el Príncipe Marcado. Es peligroso. Está fuera de su alcance. Es uno de los hombres a los que tiene que matar. Pero la frontera entre el odio y la pasión nunca ha sido tan delgada y; cuando los secretos salen a la luz; Sara ya no sabe en quién confiar; desgarrada entre la venganza y el villano al que no debería amar.
2,NOSOTROS EN LA LUNA,ALICE KELLEN,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657805/proyecto13/nuestrParteDeNoche_mjww0d.jpg,18.90,1,785,45,Una noche en París. Dos caminos entrelazándose./Cuando Rhys y Ginger se conocen en las calles de la ciudad de la luz; no imaginan que sus vidas se unirán para siempre; a pesar de la distancia y de que no puedan ser más diferentes. Ella vive en Londres y a veces se siente tan perdida que se ha olvidado hasta de sus propios sueños. Él es incapaz de quedarse quieto en ningún lugar y cree saber quién es. Y cada noche su amistad crece entre emails llenos de confidencias; dudas e inquietudes. Pero ¿qué ocurre cuando el paso del tiempo pone a prueba su relación? ¿Es posible colgarse de la luna junto a otra persona sin poner en riesgo el corazón?/Una historia sobre el amor; el destino y la búsqueda de uno mismo.
3,HOOKED: UNA HISTORIA DE NUNCA JAMAS,EMILY MCINTIRE,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657789/proyecto13/hooked_ctgnmp.jpg,19.90,1,3141,15,James ha tenido siempre un único objetivo: acabar con Peter Michaels; su enemigo. Un día; la hija de Peter; Wendy; de solo veinte años; entra en el bar de James y este ve la ocasión: la seducirá y la utilizará para vengarse. Parece el plan perfecto... hasta que todoempieza a desmoronarse. De pronto; James tiene que encontrar al traidor que se esconde entre los suyos; y su plan de venganza se complica cuando Wendy empieza a ser mucho más que un peón en su juego./Wendy siempre ha estado protegida del mundo por su padre; tan frío como adinerado. Pero una noche espontánea con amigas desemboca en una relación amorosa intensa y adictiva con el problemático James. Wendy sabe que James es peligroso; pero no puede evitar desearlo y; a medida que la relación se intensifica y descubre más cosas sobre el turbiomundo en el que se mueve; ya no sabe si se está enamorando del hombre al que conoce como James… o del monstruo al que llaman Garfio.
4,LA GUARDAESPALDAS,KATHERINE CENTER,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657795/proyecto13/laGuardaespaldas_hphwqd.jpg,19.85,1,425,47,Ella tiene una misión./Hannah Brooks parece más una profesora de infantil que alguien que podría matarte con una servilleta; pero en realidad es guardaespaldas y acaban de asignarle una nueva misión: proteger al actor superestrella Jack Stapleton de la señora que lo acosa y que se dedica a tejerle jerseis y a criar corgis./Él tiene su corazón./Jack Stapleton estaba en boca de todos y sus fotos; normalmente en playas paradisiacas; surcando las olas como un dios griego; saturaban las revistas de todo el país. Sin embargo; tras una tragedia familiar hace dos años; se alejó de los focos./Ambos tienen un secreto./Cuando la madre de Jack enferma; el vuelve al rancho familiar en Houston; Texas. Solo hay un pequeño contratiempo: Jack no quiere que su familia se entere de que necesita guardaespaldas. Así que; a regañadientes; Hannah accede a fingir que es su novia como tapadera./¿Que podría salir mal?
5,LA HIPÓTESIS DEL AMOR,ALI HAZELWOOD,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657796/proyecto13/laHipotesisDelAmor_cpq31x.jpg,21.80,1,7454,24,Una relación falsa entre dos científicos se topa con la irresistible fuerza de la atracción. Olive Smith es una doctoranda de tercer año que no cree en las relaciones amorosas duraderas; pero su mejor amiga; Ahn; sí; y por eso Olive se ha metido en un lío monumental. A Ahn le gusta el exnovio de Olive; pero jamás daría el primer paso porque es una buena amiga. A Olive no le va a resultar nada fácil convencerla de que ha pasado página; puesto que los científicos necesitan pruebas. Por eso; como cualquier mujer con un mínimo de amor propio; se deja llevar por el pánico y besa al primer hombre con el que se encuentra para que Ahn la vea. Ese hombre es nada más y nada menos que Adam Carlsen; un joven profesor tan reputado por la calidad de su trabajo como por su imbecilidad. Así que Olive se queda de piedra cuando Carlsen accede a mantener su farsa en secreto y ser su novio falso. Sin embargo; después de que un importante congreso científico se convierta en un desastre y Adam vuelva a sorprenderla con su apoyo inquebrantable (y sus inquebrantables abdominales); su pequeño experimento se acerca peligrosamente al punto de combustión. Olive no tarda en descubrir que la única cosa más complicada que una hipótesis sobre el amor es analizar su propio corazón bajo el microscopio.
6,EL ARTE DE SER NOSOTROS,INMA RUBIALES,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657778/proyecto13/elArteEsSerNosotros_lismbp.jpg,17.00,1,145,36,La vida no es justa; y eso Logan lo sabe muy bien. Después de una dolorosa pérdida; su corazón se ha vuelto hermético; frío e inquebrantable. Por eso no le importa que todos crean que es el malo de la historia./Leah nunca se ha sentido la protagonista de la suya. Vive con la cabeza enterrada en los libros; intentando pasar desapercibida; y se refugia en la gran comunidad de lectores que tiene en internet./Leah no es el tipo de chica que Logan está buscando./Y Logan es la clase de chico que Leah trata de evitar./Quizá por eso lo que hay entre ellos funciona tan bien./La historia que ha tocado el corazón de miles de lectores en Wattpad en una edición especial con capítulos inéditos.
7,LAS GUERRERAS MAXWELL; 9. LIBRE COMO EL VIENTO,MEGAN MAXWELL,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657800/proyecto13/lasGuerrerasMaxvell9_iozdin.jpg,17.10,1,5412,147,Novena entrega de «Las guerreras Maxwell». Una saga romántico-histórica que nos traslada a la Escocia medieval./Lady Johanna McRae; hija de lady Megan y el laird Duncan McRae; es una joven intrépida y retadora que; junto a su hermana Amanda; trae a su padre de cabeza./Si algo le gusta a Johanna es disfrutar de su libertad ayudando a quien puede y; en especial; retar a todo aquel que se enfrente a ella./Alan McGregor es un intrépido guerrero que; junto a su buen amigo y familiar Iver McGregor y a Beth; esposa de este; se dedica a la compraventa de caballos y ovejas en sus tierras en Fort William. Los tres; mediante una misiva de los McRae; son invitados a una fiesta en el castillo de Eilean Donan./Johanna y Alan solo se han visto una vez; pero cuando se encuentren de nuevo en la fiesta; entre ellos surgirá una magia muy especial que ninguno de los dos será incapaz de obviar./Adéntrate en las páginas de Libre como el viento y descubre que; algunas veces; los besos más cálidos y ardientes son los que se dan con la mirada.
8,ROMPER EL HIELO,HANNAH GRACE,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657810/proyecto13/romperElHielo_fz7bat.jpg,18.90,1,454,25,Anastasia Allen está decidida a entrar en el equipo olímpico de patinaje artístico de Estados Unidos y; cuando consigue una beca para la Universidad de California; todo parece ir de acuerdo con su plan./El objetivo de Nathan Hawkins como capitán del equipo de hockey es mantener a sus chicos sobre el hielo cueste lo que cueste; pero todo se complica cuando tienen que compartir pista con una patinadora guapísima y con muy mal genio./La situación obliga a estos rivales a pasar tiempo juntos; pero Anastasia está tranquila. Sabe perfectamente que un jugador de hockey jamás podría distraerla; y mucho menos Nate... ¿verdad?
9,PUCKING AROUND. EL AMOR NO ES COSA DE DOS,EMILY RATH,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657809/proyecto13/puckingAround_atwoxh.jpg,18.95,1,4524,252,Me llamo Rachel Price; y hace dos meses me alejé del hombre perfecto. Dulce; divertido... y tan sexy que deberían detenerlo. Pasamos una noche inolvidable; sin nombres ni ataduras./Pensé que jamás volvería a verlo./Me equivocaba./Él es el jugador estrella del nuevo equipo de hockey en el que realizaré mi beca como fisioterapeuta. Su mejor amigo; el jefe de equipo más borde del mundo; no deja de estar encima de mí. Y el portero se cree capaz de ocultarme su lesión./Todo cambia tras una inesperada noche y un secreto que sale a la luz. Los tres miembros del equipo están dispuestos a poner a prueba todos mis límites. No puedo enamorarme de un jugador... y mucho menos de tres./Si el amor es una competición; ellos juegan para ganar.
10,SEDUCIENDO A MR. BRIDGERTON,JULIA QUINN,https://res.cloudinary.com/de2ohcmjr/image/upload/v1709657811/proyecto13/seduciendoAMrBridget_rf4rbm.jpg,14.25,1,744,24,A sus veintiocho años; Penélope se ha resignado ya a convertirse en una solterona destinada a envejecer cuidando a su madre. Durante una década; ha asistido a todas las fiestas de la aristocracia londinense; y siempre ha sido la muchacha mediocre; callada; la que nadie saca a bailar más que por compromiso; la que pasa inadvertida para todos. También para Colin Bridgerton; hermano de la mejor amiga de Penélope; guapo; audaz; soltero de oro... y su amor platónico desde siempre. Para Colin; Penélope siempre ha estado ahí;   simpática; agradable; pero casi invisible. ¿Cómo es posible que todo cambie de repente? Sin saber bien cómo; el menor de los Bridgerton descubre a una mujer inteligente; sensible; audaz... y muy atractiva. Durante años se han conocido casi como hermanos; y de repente se dan cuenta de que no saben nada el uno del otro. Pero no todo lo que descubrirán va a resultar tan placentero...
